State_Abv,Amount,State_Code
AK,64402,2
AL,35494154,1
AR,152006497,5
AZ,14038816,4
CA,559573586,6
CO,104028942,8
CT,1721451,9
DE,2297811,10
FL,44759107,12
GA,93681075,13
IA,142231275,19
ID,59359898,16
IL,450864704,17
IN,391340550,18
KS,347604034,20
KY,90549868,21
LA,77828582,22
MA,1923325,25
MD,7893741,24
ME,4266990,23
MI,72540328,26
MN,87758739,27
MO,517716054,29
MS,117968293,28
MT,118452728,30
NC,224979798,37
ND,311269737,38
NE,184714929,31
NH,55332,33
NJ,4491175,34
NM,10273691,35
NV,29188385,32
NY,47114637,36
OH,180722278,39
OK,131457654,40
OR,50631538,41
PA,27754721,42
SC,125704757,45
SD,187028174,46
TN,44264459,47
TN,44264459,47
TX,538254914,48
UT,3119939,49
VA,34999705,51
VT,3355814,50
WA,183476903,53
WI,51707993,55
WV,1142436,54
WY,7001152,56
